"","mix_name","mean_weight"
"X266","X266",0.0579759704795724
"X262","X262",0.0393771477302318
"X43","X43",0.0388773876037555
"X107","X107",0.0366074503667761
"X79","X79",0.0326447338939281
"X274","X274",0.0306568904506376
"X115","X115",0.0282224108605982
"X265","X265",0.0276480586329687
"X65","X65",0.0258584266273955
"X201","X201",0.0238669205357291
"X57","X57",0.0236740715706468
"X208","X208",0.0218451553306911
"X214","X214",0.0200565892904417
"X166","X166",0.0194932609793584
"X144","X144",0.0186391431498178
"X147","X147",0.0167978983330216
"X238","X238",0.01569732918009
"X128","X128",0.0152976554462582
"X14","X14",0.0150597604669593
"X66","X66",0.0147896724562355
"X213","X213",0.0144172516472804
"X275","X275",0.0140143521478263
"X60","X60",0.0107588810506446
"X88","X88",0.0095644834114559
"X202","X202",0.00951237335798372
"X243","X243",0.0089460369464265
"X200","X200",0.00860833189916772
"X52","X52",0.00821502770452599
"X61","X61",0.00759561847432236
"X116","X116",0.00722274353353317
"X99","X99",0.00721193484663665
"X207","X207",0.00713988566548805
"X33","X33",0.0070779393621227
"X18","X18",0.00661070348368982
"X145","X145",0.0063214778742221
"X158","X158",0.00631784144453994
"X225","X225",0.00628567386951184
"X23","X23",0.00621367940129069
"X6","X6",0.0060011474805395
"X110","X110",0.0059607512859602
"X63","X63",0.00584804389924822
"X38","X38",0.00577370775612837
"X155","X155",0.0056710970550026
"X259","X259",0.00564481053039236
"X279","X279",0.00551678208535997
"X252","X252",0.00547508212433806
"X96","X96",0.00531038277916246
"X21","X21",0.00509200367117433
"X240","X240",0.00496044057406616
"X64","X64",0.0049557430800466
"X5","X5",0.00488425544152272
"X55","X55",0.00479463553177694
"X22","X22",0.00446755752597593
"X195","X195",0.00440082757095634
"X111","X111",0.00425773699291545
"X106","X106",0.00421267878355529
"X281","X281",0.0041128018187976
"X44","X44",0.00402650619986125
"X146","X146",0.00372714857052746
"X100","X100",0.00363615382665451
"X92","X92",0.00359031217119328
"X245","X245",0.00353917196903076
"X94","X94",0.00350779571704928
"X256","X256",0.0034447751477057
"X113","X113",0.00342117935758912
"X246","X246",0.00339150921602227
"X278","X278",0.00337845921411171
"X268","X268",0.00335495815601492
"X148","X148",0.00326660907096785
"X50","X50",0.00324343406354658
"X168","X168",0.00318008486512315
"X119","X119",0.00311285611290968
"X151","X151",0.00310069058948599
"X224","X224",0.00307535326364693
"X149","X149",0.00301919697337509
"X253","X253",0.00298871364314071
"X49","X49",0.00294490142113868
"X233","X233",0.00279947087318346
"X249","X249",0.00278191970910362
"X4","X4",0.00275120380715502
"X150","X150",0.0027494762103581
"X105","X105",0.00274278938139216
"X109","X109",0.00255538106053821
"X239","X239",0.00254325773560619
"X143","X143",0.00250652725176083
"X153","X153",0.00248319596305996
"X123","X123",0.00241696128012773
"X67","X67",0.00229867135135759
"X81","X81",0.0021388774538401
"X204","X204",0.00207758151140739
"X78","X78",0.00204973868257793
"X130","X130",0.00203788263251809
"X210","X210",0.00187426837437504
"X156","X156",0.00187240205551554
"X19","X19",0.00184576358800378
"X125","X125",0.00177329112201716
"X181","X181",0.00176075011844146
"X28","X28",0.0017539482775958
"X160","X160",0.00173839199494853
"X40","X40",0.00171271328794485
"X68","X68",0.00171266680789754
"X97","X97",0.00171197867721458
"X258","X258",0.00170984061109429
"X190","X190",0.00169117685542353
"X10","X10",0.00167279607656461
"X95","X95",0.00165202966445704
"X93","X93",0.00164804454025157
"X30","X30",0.0015892786646632
"X248","X248",0.00154233777324942
"X114","X114",0.00145998149720337
"X141","X141",0.00145416853549327
"X25","X25",0.00143180674084479
"X261","X261",0.00143133252101248
"X1","X1",0.00143111565444548
"X71","X71",0.00136604177668907
"X284","X284",0.00130111232306275
"X237","X237",0.0012788935687422
"X69","X69",0.00121288865867884
"X9","X9",0.0011784561219773
"X41","X41",0.00114055980366745
"X176","X176",0.00111754318625245
"X247","X247",0.00111336674516933
"X2","X2",0.00109743776616028
"X272","X272",0.00108741858691207
"X42","X42",0.00107569508048503
"X185","X185",0.00107507435471874
"X226","X226",0.00105074016064947
"X20","X20",0.00104874364122998
"X164","X164",0.00104166091995525
"X269","X269",0.00103695870102455
"X13","X13",0.00102067315769926
"X178","X178",0.00100111747466405
"X29","X29",0.000998700740361931
"X98","X98",0.000994446979805621
"X135","X135",0.000951193927515121
"X174","X174",0.000936676359436594
"X124","X124",0.000929665357774898
"X198","X198",0.000911428107735797
"X90","X90",0.000906902930555736
"X170","X170",0.000904247085965811
"X263","X263",0.000888098015105257
"X209","X209",0.000886991392360504
"X80","X80",0.000847779550209149
"X77","X77",0.000841650504089253
"X37","X37",0.000836225659216786
"X87","X87",0.000832141759945741
"X163","X163",0.000825922610586356
"X104","X104",0.000821745868959959
"X205","X205",0.000810548840897984
"X117","X117",0.000802309479241626
"X35","X35",0.000802003270847547
"X179","X179",0.000798455970074959
"X24","X24",0.000790167113164967
"X132","X132",0.000779771284007026
"X199","X199",0.000779369531214436
"X8","X8",0.000770191315483436
"X16","X16",0.000756038611963496
"X182","X182",0.000736152743713559
"X133","X133",0.000734895137835515
"X180","X180",0.000721384437825152
"X241","X241",0.000720014412102197
"X27","X27",0.000715081396901993
"X84","X84",0.000710269205338175
"X86","X86",0.000688700429298979
"X70","X70",0.000678673444937489
"X184","X184",0.000671446849272198
"X58","X58",0.00066279001344501
"X72","X72",0.000649722589608323
"X7","X7",0.000639679774324518
"X212","X212",0.000633650365810286
"X276","X276",0.000632139599408973
"X11","X11",0.000621691590254414
"X127","X127",0.000620541178076798
"X251","X251",0.000619986003383018
"X159","X159",0.000613981253305898
"X12","X12",0.000611600098043264
"X142","X142",0.000593647585538019
"X244","X244",0.0005923650569958
"X32","X32",0.000589443411173392
"X234","X234",0.000588542700261691
"X31","X31",0.00058165704292571
"X172","X172",0.000578355145001072
"X223","X223",0.000565247964910503
"X39","X39",0.000551568034665291
"X134","X134",0.000547667375174341
"X126","X126",0.00053839595272005
"X187","X187",0.000534284326125913
"X108","X108",0.000523079373014468
"X232","X232",0.000522144607234369
"X51","X51",0.000521594600683041
"X53","X53",0.000515196361848327
"X267","X267",0.000508709854167044
"X242","X242",0.000488230125340535
"X102","X102",0.000483719995097834
"X219","X219",0.000473124216613697
"X217","X217",0.000472406012150013
"X82","X82",0.000470292593682397
